<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.BTC/USD;60;20210215;170000;47999.1600000;48250.0000000;47832.5700000;48009.7800000;80
BTSX.BTC/USD;60;20210215;180000;48009.9800000;48189.9800000;47500.0000000;47603.4400000;113
BTSX.BTC/USD;60;20210215;190000;47580.0700000;48018.5300000;47580.0700000;47979.8700000;50
BTSX.BTC/USD;60;20210215;200000;47979.8700000;48570.0000000;47979.8700000;48500.0000000;112
BTSX.BTC/USD;60;20210215;210000;48500.0000000;48800.2000000;48427.0800000;48570.6100000;110
BTSX.BTC/USD;60;20210215;220000;48581.8800000;48699.0000000;48344.2700000;48347.0400000;26
BTSX.BTC/USD;60;20210215;230000;48390.6400000;48775.9800000;48390.6400000;48694.0900000;59
BTSX.BTC/USD;60;20210216;0;48699.6200000;48825.7000000;48495.0100000;48598.9100000;57
BTSX.BTC/USD;60;20210216;10000;48600.0000000;48769.7500000;48140.7100000;48171.5500000;107
BTSX.BTC/USD;60;20210216;20000;48253.4300000;48355.7500000;47629.9400000;48312.6300000;132
BTSX.BTC/USD;60;20210216;30000;48277.6200000;48474.4100000;47839.8600000;47942.5700000;94
BTSX.BTC/USD;60;20210216;40000;47954.0500000;47966.0000000;47036.0200000;47697.6200000;130
BTSX.BTC/USD;60;20210216;50000;47684.1000000;48319.8600000;47631.4000000;48278.8500000;58
BTSX.BTC/USD;60;20210216;60000;48323.9300000;48679.4100000;48187.7200000;48462.2800000;89
BTSX.BTC/USD;60;20210216;70000;48458.1200000;49600.0000000;48404.1200000;49564.7700000;445
BTSX.BTC/USD;60;20210216;80000;49574.8600000;49938.0000000;49012.5000000;49352.4100000;526
BTSX.BTC/USD;60;20210216;90000;49334.5100000;49482.5700000;48986.2200000;49166.9400000;56
BTSX.BTC/USD;60;20210216;100000;49166.9400000;49242.9600000;48556.5000000;49025.7600000;157
BTSX.BTC/USD;60;20210216;110000;49003.9300000;49292.4500000;48617.9800000;49162.3600000;105
BTSX.BTC/USD;60;20210216;120000;49171.1800000;49333.4000000;48890.1700000;49292.5800000;88
BTSX.BTC/USD;60;20210216;130000;49292.6000000;49339.2600000;48899.0000000;49272.1900000;33
BTSX.BTC/USD;60;20210216;140000;49272.2000000;49371.2500000;48769.6600000;49025.4300000;112
BTSX.BTC/USD;60;20210216;150000;49018.1000000;49112.2900000;48690.3100000;48907.3600000;89
BTSX.BTC/USD;60;20210216;160000;48890.3800000;50602.5300000;48354.0000000;49612.2000000;981
BTSX.BTC/USD;60;20210216;170000;49600.0000000;49799.9000000;48824.8800000;48824.8800000;335
BTSX.BTC/USD;60;20210216;180000;48906.5500000;49458.5700000;48671.4500000;49300.0000000;191
BTSX.BTC/USD;60;20210216;190000;49280.9300000;49539.0000000;48938.8800000;48998.0700000;252
BTSX.BTC/USD;60;20210216;200000;48998.0700000;49292.9100000;48060.0000000;48114.1700000;399
BTSX.BTC/USD;60;20210216;210000;48116.5700000;48608.9100000;48116.5700000;48244.8300000;253
BTSX.BTC/USD;60;20210216;220000;48239.9200000;48735.2300000;47752.0000000;48660.9400000;269
BTSX.BTC/USD;60;20210216;230000;48666.1200000;48811.1300000;48395.3200000;48557.3700000;157
BTSX.BTC/USD;60;20210217;0;48557.2300000;48834.2800000;48215.6200000;48808.6900000;60
BTSX.BTC/USD;60;20210217;10000;48788.2400000;48834.0500000;48354.0000000;48583.5700000;300
BTSX.BTC/USD;60;20210217;20000;48582.6200000;49178.7700000;48436.3000000;49124.3900000;176
BTSX.BTC/USD;60;20210217;30000;49118.4800000;49294.5700000;48936.6600000;49166.5300000;186
BTSX.BTC/USD;60;20210217;40000;49136.7000000;49546.3700000;49025.0000000;49052.9400000;90
BTSX.BTC/USD;60;20210217;50000;49015.0000000;49400.0000000;48896.1900000;49280.6200000;42
BTSX.BTC/USD;60;20210217;60000;49292.9700000;50236.0100000;49282.1800000;49658.3700000;325
BTSX.BTC/USD;60;20210217;70000;49678.8900000;49761.3500000;49248.4000000;49651.0800000;64
BTSX.BTC/USD;60;20210217;80000;49661.0000000;49957.5000000;49129.6400000;49391.4400000;237
BTSX.BTC/USD;60;20210217;90000;49341.0500000;49749.6500000;49270.0000000;49720.8300000;33
BTSX.BTC/USD;60;20210217;100000;49751.4200000;50710.1100000;49653.6900000;50614.5000000;754
BTSX.BTC/USD;60;20210217;110000;50614.5100000;51259.0000000;50250.0500000;51173.7000000;571
BTSX.BTC/USD;60;20210217;120000;51146.5500000;51300.0000000;50616.6200000;51064.5400000;398
BTSX.BTC/USD;60;20210217;130000;51072.7400000;51721.1500000;51041.7400000;51475.4700000;446
BTSX.BTC/USD;60;20210217;140000;51504.2700000;51652.4800000;51100.9600000;51239.8800000;240
BTSX.BTC/USD;60;20210217;150000;51254.5200000;51695.7000000;51164.5100000;51240.4800000;292
BTSX.BTC/USD;60;20210217;160000;51265.1000000;51534.0800000;50763.9800000;51020.4200000;240
BTSX.BTC/USD;60;20210217;170000;51037.6200000;51201.3900000;50463.7400000;51144.9000000;317
BTSX.BTC/USD;60;20210217;180000;51154.5500000;51266.0900000;50726.7900000;51239.9800000;191
BTSX.BTC/USD;60;20210217;190000;51246.5200000;51643.0600000;50967.9800000;51162.0100000;158
BTSX.BTC/USD;60;20210217;200000;51171.8800000;51449.9500000;50728.7600000;51206.7700000;152
BTSX.BTC/USD;60;20210217;210000;51223.6000000;51438.9600000;51093.9500000;51358.5800000;220
BTSX.BTC/USD;60;20210217;220000;51356.9000000;51760.0000000;51298.9000000;51427.4000000;237
BTSX.BTC/USD;60;20210217;230000;51427.4100000;52339.8500000;51365.7500000;52123.6400000;350
BTSX.BTC/USD;60;20210218;0;52126.5000000;52577.5000000;51950.1000000;52264.6100000;182
BTSX.BTC/USD;60;20210218;10000;52253.6800000;52640.0000000;52025.8600000;52397.1100000;161
BTSX.BTC/USD;60;20210218;20000;52400.0000000;52400.0000000;51964.8300000;52144.3800000;133
BTSX.BTC/USD;60;20210218;30000;52107.2400000;52400.0000000;51933.9000000;52174.2800000;62
BTSX.BTC/USD;60;20210218;40000;52141.2300000;52566.9800000;52141.2300000;52317.5400000;43
BTSX.BTC/USD;60;20210218;50000;52304.3500000;52391.8700000;52080.8900000;52158.0500000;39
BTSX.BTC/USD;60;20210218;60000;52143.9300000;52381.7700000;51966.2800000;52367.4700000;53
BTSX.BTC/USD;60;20210218;70000;52355.7500000;52440.0000000;51988.4400000;52036.8900000;42
BTSX.BTC/USD;60;20210218;80000;52026.5500000;52223.7200000;51745.7800000;52208.3900000;53
BTSX.BTC/USD;60;20210218;90000;52208.3900000;52346.1600000;52067.4700000;52219.1200000;77
BTSX.BTC/USD;60;20210218;100000;52203.8900000;52262.3100000;51873.9000000;51944.1000000;42
BTSX.BTC/USD;60;20210218;110000;51931.8500000;52200.1800000;51290.0000000;51931.9100000;241
BTSX.BTC/USD;60;20210218;120000;51917.4100000;52183.1700000;51514.1500000;51730.0800000;110
BTSX.BTC/USD;60;20210218;140000;51788.2100000;51998.2300000;51540.0000000;51653.4100000;60
BTSX.BTC/USD;60;20210218;150000;51632.7900000;51700.0000000;51068.5900000;51332.1300000;71
